attack_row_id,date_complete,annee,pays,zone,localite,activite,type_attaque,attack_latitude,attack_longitude,species,nearest_gbif_record_id,nearest_distance_km,gbif_coordinate_uncertainty_m,distance_band,occurrences_within_25km,occurrences_within_100km,juvenile_occurrences_within_100km,gbif_observed_at,gbif_source_url
159,1853-01-01,1853,AUSTRALIA,Queensland,Moreton Bay,Fell into the water,Unprovoked,-27.2397819,153.2539994,Carcharhinus leucas,6519486079,18.15,2519.0,proximite_forte,2,7,5,2026-03-20T23:00:36,https://www.gbif.org/occurrence/6519486079
159,1853-01-01,1853,AUSTRALIA,Queensland,Moreton Bay,Fell into the water,Unprovoked,-27.2397819,153.2539994,Carcharodon carcharias,6162878281,319.5,7.0,pas_de_proximite_100km,0,0,0,2026-02-22T09:03:13,https://www.gbif.org/occurrence/6162878281
159,1853-01-01,1853,AUSTRALIA,Queensland,Moreton Bay,Fell into the water,Unprovoked,-27.2397819,153.2539994,Galeocerdo cuvier,6133086834,117.89,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
159,1853-01-01,1853,AUSTRALIA,Queensland,Moreton Bay,Fell into the water,Unprovoked,-27.2397819,153.2539994,Rhincodon typus,5938466615,1459.57,30841.0,pas_de_proximite_100km,0,0,0,2026-01-03T11:33,https://www.gbif.org/occurrence/5938466615
161,1853-11-08,1853,AUSTRALIA,New South Wales,,Swimming,Unprovoked,-32.1629594,147.0320469,Carcharhinus leucas,6481240461,418.85,17.0,pas_de_proximite_100km,0,0,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
161,1853-11-08,1853,AUSTRALIA,New South Wales,,Swimming,Unprovoked,-32.1629594,147.0320469,Carcharodon carcharias,6159298926,509.4,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
161,1853-11-08,1853,AUSTRALIA,New South Wales,,Swimming,Unprovoked,-32.1629594,147.0320469,Galeocerdo cuvier,6133086834,764.62,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
161,1853-11-08,1853,AUSTRALIA,New South Wales,,Swimming,Unprovoked,-32.1629594,147.0320469,Rhincodon typus,5938466615,1793.58,30841.0,pas_de_proximite_100km,0,0,0,2026-01-03T11:33,https://www.gbif.org/occurrence/5938466615
165,,1855,AUSTRALIA,New South Wales,Sydney Harbor,Swimming,Invalid,-33.8661645,151.1995721,Carcharhinus leucas,6481240461,13.42,17.0,proximite_forte,1,1,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
165,,1855,AUSTRALIA,New South Wales,Sydney Harbor,Swimming,Invalid,-33.8661645,151.1995721,Carcharodon carcharias,6159298926,249.7,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
165,,1855,AUSTRALIA,New South Wales,Sydney Harbor,Swimming,Invalid,-33.8661645,151.1995721,Galeocerdo cuvier,6133086834,663.6,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
165,,1855,AUSTRALIA,New South Wales,Sydney Harbor,Swimming,Invalid,-33.8661645,151.1995721,Rhincodon typus,6235620031,2050.57,28818.0,pas_de_proximite_100km,0,0,0,2026-02-19T12:26,https://www.gbif.org/occurrence/6235620031
169,1856-11-25,1856,FIJI,,,Swimming,Unprovoked,-18.1239696,179.0122737,Carcharhinus leucas,6499963492,91.72,30666.0,proximite_regionale,0,2,0,2026-07-03T09:15,https://www.gbif.org/occurrence/6499963492
169,1856-11-25,1856,FIJI,,,Swimming,Unprovoked,-18.1239696,179.0122737,Carcharodon carcharias,6162878281,2928.13,7.0,pas_de_proximite_100km,0,0,0,2026-02-22T09:03:13,https://www.gbif.org/occurrence/6162878281
169,1856-11-25,1856,FIJI,,,Swimming,Unprovoked,-18.1239696,179.0122737,Galeocerdo cuvier,5231441990,88.31,30666.0,proximite_regionale,0,13,0,2025-07-11T09:34,https://www.gbif.org/occurrence/5231441990
169,1856-11-25,1856,FIJI,,,Swimming,Unprovoked,-18.1239696,179.0122737,Rhincodon typus,6235620031,1904.62,28818.0,pas_de_proximite_100km,0,0,0,2026-02-19T12:26,https://www.gbif.org/occurrence/6235620031
174,1858-01-14,1858,USA,Hawaii,,Swimming,Unprovoked,19.5938015,-155.4283701,Carcharhinus leucas,6334261088,4741.35,30175.0,pas_de_proximite_100km,0,0,0,2026-05-21T11:26,https://www.gbif.org/occurrence/6334261088
174,1858-01-14,1858,USA,Hawaii,,Swimming,Unprovoked,19.5938015,-155.4283701,Carcharodon carcharias,6480838932,1194.6,1584228.0,pas_de_proximite_100km,0,0,0,2026-06-24T10:02:07,https://www.gbif.org/occurrence/6480838932
174,1858-01-14,1858,USA,Hawaii,,Swimming,Unprovoked,19.5938015,-155.4283701,Galeocerdo cuvier,6470061880,65.6,30545.0,proximite_regionale,0,3,0,2026-07-13T09:59,https://www.gbif.org/occurrence/6470061880
174,1858-01-14,1858,USA,Hawaii,,Swimming,Unprovoked,19.5938015,-155.4283701,Rhincodon typus,6194532302,61.33,111319.49,proximite_regionale,0,1,0,2026-01-22,https://www.gbif.org/occurrence/6194532302
192,1862-05-05,1862,SOUTH AFRICA,KwaZulu-Natal,Durban,Bathing,Unprovoked,-29.8618145,31.009909,Carcharhinus leucas,6185033442,62.42,29382.0,proximite_regionale,0,1,0,2026-03-28T17:16:06,https://www.gbif.org/occurrence/6185033442
192,1862-05-05,1862,SOUTH AFRICA,KwaZulu-Natal,Durban,Bathing,Unprovoked,-29.8618145,31.009909,Carcharodon carcharias,5938331810,413.65,,pas_de_proximite_100km,0,0,0,2026-01-03T05:09:36,https://www.gbif.org/occurrence/5938331810
